Zip Code,City,County,Population â
11368,Corona,Queens County,112750
11208,Brooklyn,Kings County,108180
11385,Ridgewood,Queens County,105521
11373,Elmhurst,Queens County,102618
11226,Brooklyn,Kings County,101053
11236,Brooklyn,Kings County,100082
10467,Bronx,Bronx County,98713
10025,New York,New York County,96988
11207,Brooklyn,Kings County,96801
10314,Staten Island,Richmond County,94355
11220,Brooklyn,Kings County,93008
11219,Brooklyn,Kings County,92283
11221,Brooklyn,Kings County,91236
11214,Brooklyn,Kings County,90796
11230,Brooklyn,Kings County,90245
11234,Brooklyn,Kings County,89976
11206,Brooklyn,Kings County,89949
10456,Bronx,Bronx County,88575
11377,Woodside,Queens County,86977
11212,Brooklyn,Kings County,84006
11233,Brooklyn,Kings County,83125
11235,Brooklyn,Kings County,83069
10458,Bronx,Bronx County,82678
10468,Bronx,Bronx County,81397
11229,Brooklyn,Kings County,81109
11204,Brooklyn,Kings County,80575
10453,Bronx,Bronx County,80385
11223,Brooklyn,Kings County,80113
10457,Bronx,Bronx County,79817
11355,Flushing,Queens County,79495
10452,Bronx,Bronx County,78624
11203,Brooklyn,Kings County,78506
10462,Bronx,Bronx County,77230
10002,New York,New York County,76518
10029,New York,New York County,75614
11375,Forest Hills,Queens County,75212
11218,Brooklyn,Kings County,73318
10466,Bronx,Bronx County,72273
11215,Brooklyn,Kings County,72014
10469,Bronx,Bronx County,71862
11209,Brooklyn,Kings County,71812
10977,Spring Valley,Rockland County,70555
11691,Far Rockaway,Queens County,70365
10463,Bronx,Bronx County,70296
11201,Brooklyn,Kings County,69755
11213,Brooklyn,Kings County,69131
11434,Jamaica,Queens County,68182
10701,Yonkers,Westchester County,68032
11746,Huntington Station,Suffolk County,67663
11372,Jackson Heights,Queens County,67001
10027,New York,New York County,65806
14850,Ithaca,Tompkins County,65740
10023,New York,New York County,65706
11211,Brooklyn,Kings County,65511
11706,Bay Shore,Suffolk County,65437
10472,Bronx,Bronx County,65283
11717,Brentwood,Suffolk County,64969
11432,Jamaica,Queens County,64268
10312,Staten Island,Richmond County,63473
11210,Brooklyn,Kings County,63426
10950,Monroe,Orange County,63011
10024,New York,New York County,62774
11216,Brooklyn,Kings County,62373
10031,New York,New York County,61044
11550,Hempstead,Nassau County,60668
10032,New York,New York County,60480
10473,Bronx,Bronx County,60087
11435,Jamaica,Queens County,59961
10460,Bronx,Bronx County,59852
10033,New York,New York County,58711
11225,Brooklyn,Kings County,58476
10009,New York,New York County,58418
11238,Brooklyn,Kings County,58047
10128,New York,New York County,56695
10306,Staten Island,Richmond County,56232
12550,Newburgh,Orange County,55404
14221,Buffalo,Erie County,55228
14580,Webster,Monroe County,54520
10016,New York,New York County,54369
11758,Massapequa,Nassau County,54201
10003,New York,New York County,53877
